Titre,Description brute,Secteur,Compétences clés,Langues,Localisation,Remote,Date de début,Durée,Type de contrat
Ingenieur test et validation,Pilotage des plans de services,Medias,"Jira, Confluence, Squash","Francais, Anglais",Paris,1j/semaine,2025-04-01,6 mois,CDI
Ingenieur test et validation,CRM et Parcours client,Medias,"Jira, Confluence, Squash","Francais, Anglais",Paris,1j/semaine,2025-05-01,7 mois,CDI
Ingenieur test et validation,Valider les evolutions logicielles des decodeurs,Medias,"Jira, Confluence, Squash","Francais, Anglais",Paris,1j/semaine,2025-06-01,8 mois,CDI
Senior R&D Security Engineer,Piloter la securite produit Secure by Design,Telecommunication,Linux,"Francais, Anglais",Paris,2j/semaine,2025-03-01,6 mois,"CDI, Freelance"
Chef de projet AMOA,Refonte et fiabilisation de 2 Datamart,BFA,"MySQL, IBM Mainframe",Francais,Roubaix,2j/semaine,2025-05-01,6 mois,"CDI, Freelance"
Developpeur Android AOSP,Garantir la securite des produits de paiement,Fintech,"Kotlin, Linux, Android","Francais, Anglais",Paris,2j/semaine,2025-04-01,6 mois,"Freelance, CDI"
Project Manager,Securiser les systemes et donnees selon les standards IT,Fintech,ITIL,"Francais, Anglais",Paris,2j/semaine,2025-04-01,6 mois,"Freelance, CDI"
Lead Front-end,Developper des interfaces mobiles performantes,Foodtech,"React Native, React","Francais, Anglais",Paris,2j/semaine,2025-05-01,6 mois,CDI
Chef de projet validation,Validation logicielle de nouveaux decodeurs,Medias,"Squash, Jira","Francais, Anglais",Paris,1j/semaine,2025-01-01,6 mois,CDI
PMO Cybersecurite,Assurer la bonne mise en place de la politique de securite,Distribution,MS Office,"Francais, Anglais",Paris,2j/semaine,2025-06-01,6 mois,CDI
Solution Architecte,Integration Workday,Cosmetique,Workday finance,"Francais, Anglais",Paris,full remote,2025-07-01,6 mois,"Freelance, CDI"
Senior Expert Engineer,Support technique de haut niveau aux clients internationaux,Telecommunication,5G,"Francais, Anglais",Paris,2j/semaine,2025-10-01,8 mois,CDI
Chef de projet AMOA,Piloter les projets web,Logistique,"HTML, CSS, PL/SQL",Francais,Paris,2j/semaine,2025-09-01,6 mois,"Freelance, CDI"
DevOps,Conception et maintien des infras et outils de deploiement,Medias et Publicite,"Azure, AWS, Linux","Francais, Anglais",Paris,2j/semaine,2025-08-01,6 mois,"Freelance, CDI"
Test et validation engineer,Refonte outils internes,Telecommunication,"Powershell, Python","Francais, Anglais",Paris,2j/semaine,2025-10-01,8 mois,CDI
